Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,,,,2019-05-23 19:57:37,2019-05-23 19:57:46,9.267s,INCOMPLETE
,,,,,,,
Test Cases/TestForReqResponseChainingDemo,,,,2019-05-23 19:57:38,2019-05-23 19:57:46,8.396s,PASSED
"response = sendRequest(findTestObject(""REST/ListUsers""))",,,,2019-05-23 19:57:38,2019-05-23 19:57:43,5.350s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-05-23 19:57:43,2019-05-23 19:57:44,0.012s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,,2019-05-23 19:57:44,2019-05-23 19:57:44,0.015s,PASSED
value = first_name,,,,2019-05-23 19:57:44,2019-05-23 19:57:44,0.006s,PASSED
"println(""
 Value is : "" + value)",,,,2019-05-23 19:57:44,2019-05-23 19:57:44,0.004s,PASSED
USERNAME = value,,,,2019-05-23 19:57:44,2019-05-23 19:57:44,0.170s,PASSED
"println(""
 Value of USERNAME is : "" + USERNAME)",,,,2019-05-23 19:57:44,2019-05-23 19:57:44,0.002s,PASSED
"sendRequestAndVerify(findTestObject(""REST/UpdateUser""))",,,,2019-05-23 19:57:44,2019-05-23 19:57:46,2.397s,PASSED
