Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,,,,2019-05-23 20:01:37,2019-05-23 20:01:41,4.533s,INCOMPLETE
,,,,,,,
Test Cases/TestForReqResponseChainingDemo,,,,2019-05-23 20:01:37,2019-05-23 20:01:41,4.297s,PASSED
"response = sendRequest(findTestObject(""REST/ListUsers""))",,,,2019-05-23 20:01:37,2019-05-23 20:01:40,2.661s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-05-23 20:01:40,2019-05-23 20:01:40,0.007s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,,2019-05-23 20:01:40,2019-05-23 20:01:40,0.019s,PASSED
value = first_name,,,,2019-05-23 20:01:40,2019-05-23 20:01:40,0.007s,PASSED
"println(""
 Value is : "" + value)",,,,2019-05-23 20:01:40,2019-05-23 20:01:40,0.005s,PASSED
USERNAME = value,,,,2019-05-23 20:01:40,2019-05-23 20:01:40,0.101s,PASSED
"println(""
 Value of USERNAME is : "" + USERNAME)",,,,2019-05-23 20:01:40,2019-05-23 20:01:40,0.002s,PASSED
"sendRequestAndVerify(findTestObject(""REST/UpdateUser""))",,,,2019-05-23 20:01:40,2019-05-23 20:01:41,1.118s,PASSED
