Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,,,,2019-05-23 20:00:08,2019-05-23 20:00:16,8.047s,INCOMPLETE
,,,,,,,
Test Cases/TestForReqResponseChainingDemo,,,,2019-05-23 20:00:09,2019-05-23 20:00:16,7.727s,PASSED
"response = sendRequest(findTestObject(""REST/ListUsers""))",,,,2019-05-23 20:00:09,2019-05-23 20:00:15,5.471s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-05-23 20:00:15,2019-05-23 20:00:15,0.006s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,,2019-05-23 20:00:15,2019-05-23 20:00:15,0.018s,PASSED
value = first_name,,,,2019-05-23 20:00:15,2019-05-23 20:00:15,0.006s,PASSED
"println(""
 Value is : "" + value)",,,,2019-05-23 20:00:15,2019-05-23 20:00:15,0.003s,PASSED
USERNAME = value,,,,2019-05-23 20:00:15,2019-05-23 20:00:15,0.398s,PASSED
"println(""
 Value of USERNAME is : "" + USERNAME)",,,,2019-05-23 20:00:15,2019-05-23 20:00:15,0.001s,PASSED
"sendRequestAndVerify(findTestObject(""REST/UpdateUser""))",,,,2019-05-23 20:00:15,2019-05-23 20:00:16,1.364s,PASSED
