Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,,,,2019-05-23 20:00:58,2019-05-23 20:01:02,3.887s,INCOMPLETE
,,,,,,,
Test Cases/TestForReqResponseChainingDemo,,,,2019-05-23 20:00:58,2019-05-23 20:01:02,3.695s,FAILED
"response = sendRequest(findTestObject(""REST/ListUsers""))",,,,2019-05-23 20:00:59,2019-05-23 20:01:01,2.415s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-05-23 20:01:01,2019-05-23 20:01:01,0.005s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,,2019-05-23 20:01:01,2019-05-23 20:01:01,0.019s,PASSED
value = first_name,,,,2019-05-23 20:01:01,2019-05-23 20:01:01,0.010s,PASSED
"println(""
 Value is : "" + value)",,,,2019-05-23 20:01:01,2019-05-23 20:01:01,0.006s,PASSED
USERNAME = value,,,,2019-05-23 20:01:01,2019-05-23 20:01:01,0.088s,PASSED
"println(""
 Value of USERNAME is : "" + USERNAME)",,,,2019-05-23 20:01:01,2019-05-23 20:01:01,0.001s,PASSED
"sendRequestAndVerify(findTestObject(""REST/UpdateUser""))",,,,2019-05-23 20:01:01,2019-05-23 20:01:02,0.803s,FAILED
